4 4 0 CCC.GG..BBB..AA.F..II.F.E.DDHHE..... G99 B99 A99 I99
4 4 0 CCC.GG..BBB..AA.F.II..F.E.DDHHE..... G99 B99 A99 I98
4 4 0 CCC.GG..BBB..AA.F.E.IIF.E.DDHH...... G99 B99 A99 E99
4 4 0 CCC.GG..BBB.EAA.F.E.IIF...DDHH...... G99 B99 A99 E98
4 4 0 CCC.GGE.BBB.EAA.F...IIF...DDHH...... G99 B99 A99 E97
4 4 0 CCC.GG..BBB..AA.F...IIF.EDD.HHE..... G99 B99 A99 D99
4 4 0 CCC.GG..BBB...AAF..II.F.E.DDHHE..... G99 B99 A98 I99
4 4 0 CCC.GG..BBB...AAF.II..F.E.DDHHE..... G99 B99 A98 I98
4 4 0 CCC.GG..BBB...AAF.E.IIF.E.DDHH...... G99 B99 A98 E99
4 4 0 CCC.GG..BBB.E.AAF.E.IIF...DDHH...... G99 B99 A98 E98
4 4 0 CCC.GGE.BBB.E.AAF...IIF...DDHH...... G99 B99 A98 E97
4 4 0 CCC.GG..BBB...AAF...IIF.EDD.HHE..... G99 B99 A98 D99
4 4 0 CCC.GG..BBB.AA..F.EII.F.E.DDHH...... G99 B99 I99 E99
4 4 0 CCC.GG..BBB.AA..F..II.F.EDD.HHE..... G99 B99 I99 D99
4 4 0 CCC.GG..BBB.AA..F.II..F.EDD.HHE..... G99 B99 I98 D99
4 4 0 CCC.GG..BBB.AA..F.E.IIF.EDD.HH...... G99 B99 E99 D99
4 4 0 CCC.GG..BBB.AA..F...IIF.EDDHH.E..... G99 B99 D99 H99
4 4 0 CCC.GG...BBB.AA.F..II.F.E.DDHHE..... G99 B98 A99 I99
4 4 0 CCC.GG...BBB.AA.F.II..F.E.DDHHE..... G99 B98 A99 I98
4 4 0 CCC.GG...BBB.AA.F.E.IIF.E.DDHH...... G99 B98 A99 E99
4 4 0 CCC.GG...BBBEAA.F.E.IIF...DDHH...... G99 B98 A99 E98
4 4 0 CCC.GGE..BBBEAA.F...IIF...DDHH...... G99 B98 A99 E97
4 4 0 CCC.GG...BBB.AA.F...IIF.EDD.HHE..... G99 B98 A99 D99
4 4 0 CCC.GG...BBB..AAF..II.F.E.DDHHE..... G99 B98 A98 I99
